geoid10,nearest_greenway_loop_contiguous_dist,nearest_greenway_loop_contiguous_score,los_closest_park_dist,los_dist_score,los_acre_score,los_exp_score,los_3_factor_total_score,los_3_factor_grade,los_total_score,los_total_grade,la_closest_park_dist,la_dist_score,la_acre_score,la_exp_score,la_3_factor_total_score,la_3_factor_grade,la_total_score,la_total_grade,la_los_closest_park_diff,la_los_closest_park_diff_pct,la_los_dist_score_diff,la_los_acre_score_diff,la_los_exp_score_diff,la_los_3_factor_total_score_diff,la_los_total_score_diff,pop_2018,popdensity_2018,pop_pct,tothh_2018,hh_pct,low_income,low_income_pct_tot_pop,low_income_pct_low_income,middle_income,middle_income_pct_tot_pop,middle_income_pct_middle_income,high_income,high_income_pct_tot_pop,high_income_pct_high_income,los_income_low_a,los_income_low_b,los_income_low_c,los_income_low_d,los_income_low_f,los_income_middle_a,los_income_middle_b,los_income_middle_c,los_income_middle_d,los_income_middle_f,los_income_high_a,los_income_high_b,los_income_high_c,los_income_high_d,los_income_high_f,la_income_low_a,la_income_low_b,la_income_low_c,la_income_low_d,la_income_low_f,la_income_middle_a,la_income_middle_b,la_income_middle_c,la_income_middle_d,la_income_middle_f,la_income_high_a,la_income_high_b,la_income_high_c,la_income_high_d,la_income_high_f,race_white_pop_2018,race_white_pct_totpop,race_white_pct_white_pop,race_black_pop_2018,race_black_pct_totpop,race_black_pct_black_pop,hisp_pop_2018,hisp_pct_totpop,hisp_pct_hisp,hisp_no_bw_pop_2018,hisp_no_bw_pct_totpop,hisp_no_bw_pct_hisp_no_bw_pop,minority_pop_2018,minority_pct_totpop,minority_pct_minority_pop,los_white_a,los_white_b,los_white_c,los_d_white_d,los_white_f,los_black_a,los_black_b,los_black_c,los_black_d,los_black_f,los_hisp_a,los_hisp_b,los_hisp_c,los_hisp_d,los_hisp_f,los_hisp_no_bw_a,los_hisp_no_bw_b,los_hisp_no_bw_c,los_hisp_no_bw_d,los_hisp_no_bw_f,los_minority_a,los_minority_b,los_minority_c,los_minority_d,los_minority_f,la_white_a,la_white_b,la_white_c,la_white_d,la_white_f,la_black_a,la_black_b,la_black_c,la_black_d,la_black_f,la_hisp_a,la_hisp_b,la_hisp_c,la_hisp_d,la_hisp_f,la_hisp_no_bw_a,la_hisp_no_bw_b,la_hisp_no_bw_c,la_hisp_no_bw_d,la_hisp_no_bw_f,la_minority_a,la_minority_b,la_minority_c,la_minority_d,la_minority_f,cac,council_dist,council_person,beltline,sqmi
371830501001000,3781.2279705485207,4,0.101434434267996,5,5,5,15,A,19,A,0.101434434267996,5,5,5,15,A,19,A,0.0,0.0,0,0,0,0,0,75,10091.498301374,0.0149875303747282,33,0.0163775776073848,8,0.0015986699066376801,0.0149471245469153,13,0.00259783859828623,0.0143598807025295,11,0.0021981711216268103,0.0194414987628137,8,0,0,0,0,13,0,0,0,0,11,0,0,0,0,8,0,0,0,0,13,0,0,0,0,11,0,0,0,0,39,0.00779351579485868,0.0137389735929882,32,0.00639467962655071,0.0226221952012668,3,0.000599501214989129,0.00503330369276714,1,0.00019983373832971002,0.0028957808473054803,37,0.007393848318199259,0.0155153832928675,39,0,0,0,0,32,0,0,0,0,3,0,0,0,0,1,0,0,0,0,37,0,0,0,0,39,0,0,0,0,32,0,0,0,0,3,0,0,0,0,1,0,0,0,0,37,0,0,0,0,North Central,C,Corey Branch,Inside,0.0074319984763599
371830501001001,4400.99750045242,4,0.0775508439254966,5,4,5,14,A,18,A,0.0775508439254966,5,5,5,15,A,19,A,0.0,0.0,0,1,0,1,1,17,3423.0934383792896,0.00339717355160506,11,0.00545919253579493,3,0.000599501214989129,0.005605171705093229,4,0.000799334953318839,0.00441842483154755,4,0.000799334953318839,0.00706963591375044,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,9,0.00179850364496739,0.00317053236761266,7,0.0013988361683079699,0.00494860520027712,1,0.00019983373832971002,0.00167776789758905,1,0.00019983373832971002,0.0028957808473054803,8,0.0015986699066376801,0.00335467746872812,9,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,9,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,North Central,C,Corey Branch,Inside,0.00496626817410186
371830501001002,4114.93740198363,4,0.13119852021866601,5,4,5,14,A,18,A,0.13119852021866601,5,5,5,15,A,19,A,0.0,0.0,0,1,0,1,1,67,7933.43009779348,0.0133888604680905,32,0.015881287376858,8,0.0015986699066376801,0.0149471245469153,13,0.00259783859828623,0.0143598807025295,11,0.0021981711216268103,0.0194414987628137,8,0,0,0,0,13,0,0,0,0,11,0,0,0,0,8,0,0,0,0,13,0,0,0,0,11,0,0,0,0,35,0.0069941808415398396,0.0123298480962715,28,0.00559534467323187,0.0197944208011085,3,0.000599501214989129,0.00503330369276714,2,0.000399667476659419,0.00579156169461095,33,0.00659451336488042,0.0138380445585035,35,0,0,0,0,28,0,0,0,0,3,0,0,0,0,2,0,0,0,0,33,0,0,0,0,35,0,0,0,0,28,0,0,0,0,3,0,0,0,0,2,0,0,0,0,33,0,0,0,0,North Central,C,Corey Branch,Inside,0.00844527514254328
371830501001003,4331.875729909229,4,0.252341505869081,5,5,5,15,A,19,A,0.252341505869081,5,5,5,15,A,19,A,0.0,0.0,0,0,0,0,0,179,16123.6425650402,0.035770239161018,72,0.0357328965979305,19,0.0037968410282644798,0.0354994207989238,28,0.00559534467323187,0.0309289738208329,25,0.00499584345824274,0.0441852244609403,19,0,0,0,0,28,0,0,0,0,25,0,0,0,0,19,0,0,0,0,28,0,0,0,0,25,0,0,0,0,94,0.0187843714029927,0.0331144491728433,75,0.0149875303747282,0.0530207700029692,8,0.0015986699066376801,0.0134221431807124,3,0.000599501214989129,0.008687342541916429,89,0.0177852027113442,0.0373207868396003,94,0,0,0,0,75,0,0,0,0,8,0,0,0,0,3,0,0,0,0,89,0,0,0,0,94,0,0,0,0,75,0,0,0,0,8,0,0,0,0,3,0,0,0,0,89,0,0,0,0,North Central,C,Corey Branch,Inside,0.0111017097580737
371830501001004,3709.28907934872,4,0.420437708512146,4,5,5,14,A,18,A,0.420437708512146,4,5,5,14,A,18,A,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Central,C,Corey Branch,Inside,0.0123421974252123
371830501001005,4965.92669241441,4,0.34294495754066495,5,5,5,15,A,19,A,0.34294495754066495,5,5,5,15,A,19,A,0.0,0.0,0,0,0,0,0,205,75891.8702433545,0.0409659163575905,133,0.06600660066006599,35,0.0069941808415398396,0.0653936698927544,53,0.0105911881314746,0.0585441290180051,46,0.00919235196316665,0.0813008130081301,35,0,0,0,0,53,0,0,0,0,46,0,0,0,0,35,0,0,0,0,53,0,0,0,0,46,0,0,0,0,107,0.0213822100012789,0.0376941070371727,86,0.017185701496355,0.0607971496034046,9,0.00179850364496739,0.0150999110783014,4,0.000799334953318839,0.0115831233892219,102,0.0203830413096304,0.0427721377262835,107,0,0,0,0,86,0,0,0,0,9,0,0,0,0,4,0,0,0,0,102,0,0,0,0,107,0,0,0,0,86,0,0,0,0,9,0,0,0,0,4,0,0,0,0,102,0,0,0,0,North Central,C,Corey Branch,Inside,0.0027012115967447897
371830501001006,3713.5862403216797,4,0.612646295840911,4,5,5,14,A,18,A,0.612646295840911,4,5,5,14,A,18,A,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Central,C,Corey Branch,Inside,0.0263075668355827
371830501001007,3860.6075131892403,4,0.640491233883888,4,5,5,14,A,18,A,0.640491233883888,4,5,5,14,A,18,A,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Central,C,Corey Branch,Inside,0.0351646234869847
371830501001008,6089.59561170041,3,0.5924746735161801,4,5,5,14,A,17,A,0.15097119936835,5,5,5,15,A,18,A,0.44150347414783003,74.51853959049829,1,0,0,1,1,3,364.918039471465,0.000599501214989129,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000399667476659419,0.000704562748358369,1,0.00019983373832971002,0.000706943600039589,0,0.0,0.0,0,0.0,0.0,1,0.00019983373832971002,0.000419334683591015,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,North Central,C,Corey Branch,Inside,0.00822102410816714
371830501001009,5915.83618423548,3,0.559565741599519,4,5,5,14,A,17,A,0.11806226745169,5,5,5,15,A,18,A,0.441503474147829,78.9010908505212,1,0,0,1,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Central,C,Corey Branch,Inside,0.00052194532240492
